,area_num_1,GEOID
38,43,17031430500
38,43,17031430400
38,43,17031430300
38,43,17031430200
4,43,17031430102
38,43,17031430101
8,42,17031421200
8,42,17031420800
8,42,17031420700
8,42,17031420600
8,42,17031420500
8,42,17031420400
8,42,17031420300
8,42,17031420200
8,42,17031420100
7,41,17031411200
7,41,17031411100
6,41,17031411000
7,41,17031410900
7,41,17031410800
7,41,17031410700
7,41,17031410600
7,41,17031410500
7,41,17031410200
8,41,17031410100
6,40,17031400800
6,40,17031400500
6,40,17031400400
6,40,17031400300
5,39,17031390700
4,39,17031390600
4,39,17031390500
4,39,17031390400
4,39,17031390300
4,39,17031390200
4,39,17031390100
3,38,17031381900
3,38,17031381800
3,38,17031381700
3,38,17031381500
3,38,17031381400
3,38,17031381200
3,38,17031380700
3,38,17031380500
3,38,17031380200
3,38,17031380100
1,36,17031360200
0,35,17031351500
0,35,17031351400
0,35,17031351100
0,35,17031351000
0,35,17031350400
0,35,17031350100
34,34,17031340600
34,34,17031340500
34,34,17031340400
34,34,17031340300
33,33,17031330200
33,33,17031330100
37,32,17031320600
37,32,17031320400
37,32,17031320100
32,31,17031310900
32,31,17031310800
32,31,17031310700
32,31,17031310600
32,31,17031310500
32,31,17031310400
32,31,17031310300
32,31,17031310200
31,30,17031301803
31,30,17031301802
31,30,17031301801
31,30,17031301702
31,30,17031301701
31,30,17031301600
31,30,17031301200
31,30,17031301100
31,30,17031300900
31,30,17031300800
31,30,17031300700
31,30,17031300600
31,30,17031300500
29,29,17031292500
29,29,17031292400
29,29,17031292200
29,29,17031291600
29,29,17031291200
29,29,17031290900
28,28,17031283800
28,28,17031283200
28,28,17031283100
28,28,17031282800
28,28,17031282700
28,28,17031281900
28,28,17031280900
28,28,17031280800
28,28,17031280400
28,28,17031280100
27,27,17031271800
27,27,17031271500
27,27,17031271400
27,27,17031271300
27,27,17031271200
27,27,17031270500
26,26,17031261000
26,26,17031260900
26,26,17031260800
26,26,17031260700
26,26,17031260600
26,26,17031260500
26,26,17031260400
26,26,17031260300
26,26,17031260200
26,26,17031260100
25,25,17031252202
25,25,17031252201
25,25,17031252102
25,25,17031252101
25,25,17031252000
25,25,17031251900
25,25,17031251800
25,25,17031251700
25,25,17031251600
25,25,17031251500
25,25,17031251400
25,25,17031251300
25,25,17031251200
25,25,17031251100
25,25,17031251000
25,25,17031250800
25,25,17031250700
25,25,17031250600
25,25,17031250500
25,25,17031250400
25,25,17031250300
25,25,17031250200
24,24,17031243500
24,24,17031243400
24,24,17031243300
24,24,17031243200
24,24,17031243100
24,24,17031243000
24,24,17031242900
24,24,17031242800
24,24,17031242700
24,24,17031242600
24,24,17031242500
24,24,17031242400
24,24,17031242300
24,24,17031242200
24,24,17031242100
24,24,17031242000
24,24,17031241600
24,24,17031241500
24,24,17031241400
24,24,17031241300
24,24,17031241200
24,24,17031241100
24,24,17031241000
24,24,17031240900
24,24,17031240800
24,24,17031240700
24,24,17031240600
24,24,17031240500
24,24,17031240300
24,24,17031240200
23,23,17031231500
23,23,17031231200
23,23,17031231100
23,23,17031230900
23,23,17031230800
23,23,17031230700
23,23,17031230600
23,23,17031230500
23,23,17031230400
23,23,17031230300
23,23,17031230200
23,23,17031230100
22,22,17031222900
22,22,17031222800
22,22,17031222700
22,22,17031222600
22,22,17031222500
22,22,17031222200
22,22,17031221600
22,22,17031221500
22,22,17031221400
22,22,17031221300
22,22,17031221200
22,22,17031221100
22,22,17031221000
22,22,17031220902
22,22,17031220901
22,22,17031220702
22,22,17031220701
22,22,17031220602
22,22,17031220601
22,22,17031220500
22,22,17031220400
22,22,17031220300
21,21,17031210900
21,21,17031210800
21,21,17031210700
21,21,17031210602
21,21,17031210601
21,21,17031210502
21,21,17031210501
21,21,17031210400
21,21,17031210100
20,20,17031200402
20,20,17031200401
20,20,17031200300
20,20,17031200200
20,20,17031200100
18,19,17031191302
18,19,17031191301
18,19,17031191200
18,19,17031191100
18,19,17031191000
18,19,17031190900
18,19,17031190800
18,19,17031190702
18,19,17031190701
18,19,17031190602
18,19,17031190601
18,19,17031190402
18,19,17031190401
18,19,17031190300
18,19,17031190200
18,19,17031190100
17,18,17031180100
16,17,17031171100
16,17,17031171000
16,17,17031170900
16,17,17031170800
16,17,17031170700
16,17,17031170600
16,17,17031170500
16,17,17031170400
16,17,17031170300
16,17,17031170200
16,17,17031170100
15,16,17031161300
15,16,17031161200
15,16,17031161100
15,16,17031161000
15,16,17031160900
15,16,17031160800
15,16,17031160700
15,16,17031160602
15,16,17031160601
15,16,17031160502
15,16,17031160501
15,16,17031160400
15,16,17031160300
15,16,17031160200
15,16,17031160100
14,15,17031151200
14,15,17031151100
14,15,17031151002
14,15,17031151001
14,15,17031150800
14,15,17031150700
14,15,17031150600
14,15,17031150502
14,15,17031150501
14,15,17031150402
14,15,17031150401
14,15,17031150300
14,15,17031150200
13,14,17031140800
13,14,17031140702
13,14,17031140701
13,14,17031140602
13,14,17031140601
13,14,17031140500
13,14,17031140400
13,14,17031140302
13,14,17031140301
13,14,17031140200
13,14,17031140100
12,13,17031130300
12,13,17031130200
12,13,17031130100
11,12,17031120400
11,12,17031120300
11,12,17031120200
11,12,17031120100
10,11,17031110502
10,11,17031110501
10,11,17031110400
10,11,17031110300
10,11,17031110200
10,11,17031110100
35,10,17031100700
35,10,17031100600
35,10,17031100500
35,10,17031100400
35,10,17031100300
35,10,17031100200
35,10,17031100100
76,9,17031090300
76,9,17031090200
76,9,17031090100
36,8,17031081900
36,8,17031081800
36,8,17031081700
36,8,17031081600
36,8,17031081500
10,8,17031081403
36,8,17031081401
36,8,17031081300
15,8,17031081202
36,8,17031081201
36,8,17031081100
36,8,17031081000
36,8,17031080400
36,8,17031080300
36,8,17031080202
36,8,17031080201
36,8,17031080100
67,7,17031071800
67,7,17031071700
67,7,17031071600
67,7,17031071500
67,7,17031071400
67,7,17031071300
67,7,17031071200
67,7,17031071100
67,7,17031071000
67,7,17031070700
67,7,17031070600
67,7,17031070500
67,7,17031070400
67,7,17031070300
67,7,17031070200
67,7,17031070103
67,7,17031070102
67,7,17031070101
44,6,17031063400
44,6,17031063303
44,6,17031063302
44,6,17031063301
44,6,17031063200
44,6,17031063100
44,6,17031063000
44,6,17031062900
44,6,17031062800
44,6,17031062700
44,6,17031062600
44,6,17031062500
44,6,17031062400
44,6,17031062300
44,6,17031062200
44,6,17031062100
44,6,17031062000
44,6,17031061902
44,6,17031061901
44,6,17031061800
44,6,17031061500
44,6,17031061200
44,6,17031061100
44,6,17031061000
44,6,17031060900
44,6,17031060800
44,6,17031060500
44,6,17031060400
44,6,17031060300
44,6,17031060200
44,6,17031060100
47,5,17031051400
47,5,17031051300
47,5,17031051200
47,5,17031051100
47,5,17031051000
47,5,17031050900
47,5,17031050800
47,5,17031050700
47,5,17031050600
47,5,17031050500
47,5,17031050300
47,5,17031050200
47,5,17031050100
5,4,17031040900
5,4,17031040800
5,4,17031040700
5,4,17031040600
5,4,17031040402
5,4,17031040401
5,4,17031040300
5,4,17031040202
5,4,17031040201
5,4,17031040100
30,3,17031032100
30,3,17031031900
30,3,17031031800
30,3,17031031700
30,3,17031031502
30,3,17031031501
30,3,17031031400
30,3,17031031300
30,3,17031031200
30,3,17031031100
30,3,17031031000
75,77,17031030900
75,77,17031030800
75,77,17031030706
75,77,17031030703
75,77,17031030702
75,77,17031030701
75,77,17031030604
75,77,17031030603
75,77,17031030601
75,77,17031030500
75,77,17031030400
75,77,17031030300
75,77,17031030200
75,77,17031030104
75,77,17031030103
75,77,17031030102
75,77,17031030101
19,2,17031020902
19,2,17031020901
19,2,17031020802
19,2,17031020801
19,2,17031020702
19,2,17031020701
19,2,17031020602
19,2,17031020601
19,2,17031020500
19,2,17031020400
19,2,17031020302
19,2,17031020301
19,2,17031020200
19,2,17031020100
9,1,17031010702
9,1,17031010701
9,1,17031010600
9,1,17031010503
9,1,17031010502
9,1,17031010501
14,1,17031010400
9,1,17031010300
9,1,17031010202
9,1,17031010201
9,1,17031010100
